"#","Event code","Title","ELIXIR Node","Start date","End date","Duration","Event type","Funding","Organising Institution/s","Location (city, country)","EXCELERATE subtask","Target audience","Additional ELIXIR Platforms involved","ELIXIR Communities involved","Number of participants","Number of trainers/ facilitators","Url to event page/ agenda","Main organiser"
"419","6980","Metabolomics with the Q Exactive","ELIXIR-UK","04.11.2019","06.11.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Birmingham","United Kingdom","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","8","6","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/courses/2020/Metabolomics-with-the-Q-Exactive-April-2020.aspx","ELIXIR-UK"
"420","6952","Helis course: FAIR data stewardship course - Digital data scholarship for the life sciences","ELIXIR-NL","04.11.2019","06.11.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","DTL","Netherlands","","Academia/ Research Institution, Industry, Non-Profit Organisation","NA","NA","21","8","https://www.aanmelder.nl/data-stewardship-course/part_program","ELIXIR-NL"
"421","6818","Integrative Biological Interpretation using Proteomics","ELIXIR-PT","04.11.2019","07.11.2019","4.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","	
Instituto Gulbenkian de Ciência","Portugal","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","16","3","http://gtpb.igc.gulbenkian.pt/bicourses/2019/IBIP19/index.html","ELIXIR-PT"
"422","6884","8e Ecole de Bioinformatique AVIESAN-IFB","ELIXIR-FR","03.11.2019","08.11.2019","6.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Aviesan ITMO GGB, Inserm, IFB","France","","Academia/ Research Institution","NA","NA","40","30","https://www.france-bioinformatique.fr/fr/evenements/3955","ELIXIR-FR"
"423","6898","Protein-RNA cross-linking with RNPxl/OpenMS - SSP2019","ELIXIR-DE","03.11.2019","03.11.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Tübingen","Germany","","Academia/ Research Institution","NA","Proteomics","25","2","https://www.denbi.de/training-archive-sorted-according-by-date/2019/697-protein-rna-cross-linking-with-rnpxl-openms","ELIXIR-DE"
"424","6897","Advanced modeling with COPASI - ICSB 2019","ELIXIR-DE","31.10.2019","31.10.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Heidelberg University","Japan","","Academia/ Research Institution","NA","NA","5","7","https://www.denbi.de/training-archive-sorted-according-by-date/2019/658-advanced-modeling-with-copasi-icsb-2019","ELIXIR-DE"
"425","6896","COMBINE & de.NBI Tutorial: Modelling and Simulation Tools in Systems Biology – ICSB 2019","ELIXIR-DE","31.10.2019","31.10.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","HITS Heidelberg","Japan","","Academia/ Research Institution","NA","NA","26","10","https://www.denbi.de/training-archive-sorted-according-by-date/2019/531-combine-de-nbi-tutorial-modelling-and-simulation-tools-in-systems-biology-icsb-2019","ELIXIR-DE"
"426","6940","Bioinformatics Practical Course on Network Biology","ELIXIR-ES","30.10.2019","30.10.2019","1.00 Days","Training - face to face","ELIXIR Node, Non-ELIXIR/ Non-EXCELERATE funds","SoIBio, ELIXIR-ES","Uruguay","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","16","1","https://sites.google.com/view/soibio19/workshop-and-mini-courses","ELIXIR-ES"
"427","6856","Data Science in Python","ELIXIR-UK","30.10.2019","31.10.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","40","2","https://training.cam.ac.uk/bioinformatics/event/3062424","ELIXIR-UK"
"428","6877","Bioinformatics for Genomics","ELIXIR-UK","28.10.2019","01.11.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Edinburgh/Edinburgh Genomics","United Kingdom","","Academia/ Research Institution, Industry, Healthcare","NA","NA","20","4","http://genomics.ed.ac.uk/services/training","ELIXIR-UK"
"429","6895","3rd Tool-Training for Proteomics","ELIXIR-DE","28.10.2019","28.10.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Ruhr University Bochum","Germany","","Academia/ Research Institution","NA","Proteomics","8","4","https://www.denbi.de/training-archive-sorted-according-by-date/2019/553-3rd-tool-training-for-proteomics","ELIXIR-DE"
"430","6824","SPHN Data Privacy and IT Security Training","ELIXIR-CH","25.10.2019","25.10.2019","1.00 Days","Training - face to face","ELIXIR Node","SIB Swiss Institute of Bioinformatics, CHUV, ESCMID","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","48","3","https://www.sib.swiss/training/course/2019-09-metagenomics","ELIXIR-CH"
"431","6855","ChIP-seq and ATAC-seq analysis","ELIXIR-UK","23.10.2019","24.10.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","46","3","https://training.cam.ac.uk/bioinformatics/event/3049814","ELIXIR-UK"
"432","6894","Environmental Genomics training course","ELIXIR-DE","23.10.2019","25.10.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Justus Liebig University of Gießen","Germany","","Academia/ Research Institution","NA","NA","20","6","https://www.denbi.de/training-archive-sorted-according-by-date/2019/700-environmental-genomics-training-course","ELIXIR-DE"
"433","6979","Metabolomics Data Processing and Data Analysis","ELIXIR-UK","21.10.2019","15.11.2019","26.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","University of Birmingham","Online","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","50","6","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/courses/2020/Metabolomics-Data-Processing-and-Data-Analysis.aspx","ELIXIR-UK"
"434","6941","ELIXIR Beacon and Beacon Network as a Service","ELIXIR-CH, ELIXIR-EMBL-EBI, ELIXIR-ES, ELIXIR-FI, ELIXIR-Hub","21.10.2019","21.10.2019","1.00 Days","Training - elearning","ELIXIR Node, ELIXIR Hub","CRG","Online","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","Human Data","15","1","https://elixir-europe.org/events/elixir-webinar-elixir-beacon-beacon-network-service","ELIXIR-ES"
"435","6679","From reads to disease variants: GATK workshop and Disease variant priorization tutorial","ELIXIR-ES","21.10.2019","25.10.2019","5.00 Days","Training - face to face","ELIXIR Node","Fundación Progreso y Salud - FPS, Broad Institute","Spain","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","32","7","http://courseswiki.clinbioinfosspa.es/gatk2019/start","ELIXIR-ES"
"436","6815","Functional Plant Bioinformatics (PLAZA)","ELIXIR-BE","21.10.2019","22.10.2019","2.00 Days","Training - face to face","ELIXIR Node","VIB","Belgium","","Academia/ Research Institution, Industry","NA","NA","24","3","https://tess.elixir-europe.org/events/functional-plant-bioinformatics-plaza-5e977efa-32fd-43c3-a5d2-7a6091cdd564","ELIXIR-BE"
"437","6854","Open Targets: Integrating genetics and genomics for disease biology and translational medicine","ELIXIR-UK","17.10.2019","17.10.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","41","2","https://training.cam.ac.uk/bioinformatics/event/3093271","ELIXIR-UK"
"438","6944","VII Students Bioinformatics Symposium","ELIXIR-ES","17.10.2019","17.10.2019","1.00 Days","Knowledge exchange workshop","ELIXIR Node, Non-ELIXIR/ Non-EXCELERATE funds","RSG-Spain, CBGP(UPM-INIA)","Spain","","Academia/ Research Institution, Non-Profit Organisation, Healthcare","NA","NA","150","20","https://spark.adobe.com/page/Rc0uB1GypigeV/","ELIXIR-ES"
"439","6893","Software Carpentry Workshop","ELIXIR-DE","16.10.2019","18.10.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","EMBL Heidelberg","Germany","","Academia/ Research Institution","NA","NA","26","6","https://www.denbi.de/training-archive-sorted-according-by-date/2019/486-software-carpentry-workshop-2","ELIXIR-DE"
"440","6939","WODA2019 - Web-based Omics Data Analysis","ELIXIR-ES","16.10.2019","18.10.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Principe Felipe Research Centre - CIPF","Spain","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","25","12","http://bioinfo.cipf.es/WODA19/","ELIXIR-ES"
"441","6892","Analyzing and redesigning metabolic networks with CellNetAnalyzer","ELIXIR-DE","15.10.2019","15.10.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Max Planck Institute for Dynamics of Complex Technical Systems","Spain","","Academia/ Research Institution","NA","NA","12","2","https://www.denbi.de/training-archive-sorted-according-by-date/2019/677-analyzing-and-redesigning-metabolic-networks-with-cellnetanalyzer","ELIXIR-DE"
"442","6817","Train the Trainer","ELIXIR-IT, ELIXIR-UK","15.10.2019","16.10.2019","2.00 Days","Training - face to face","ELIXIR Implementation Study, Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","8","2","https://www.eventbrite.co.uk/e/train-the-trainer-workshop-tickets-71772755243","ELIXIR-UK"
"443","6954","Algorithms for Genomics","ELIXIR-NL","14.10.2019","18.10.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","BioSB","Netherlands","","Academia/ Research Institution, Industry","NA","NA","16","3","https://www.biosb.nl/archive-courses/course-algorithms-for-genomics/","ELIXIR-NL"
"444","6823","Joint SIB / SciLifeLab Autumn School Single Cell Analysis","ELIXIR-CH","13.10.2019","18.10.2019","6.00 Days","Training - face to face","ELIXIR Node","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","38","13","https://www.sib.swiss/training/course/2019-09-rnas-be03","ELIXIR-CH"
"445","6853","Introduction to Scientific Figure Design","ELIXIR-UK","11.10.2019","11.10.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","41","2","https://training.cam.ac.uk/bioinformatics/event/3088725","ELIXIR-UK"
"446","6891","Metabolomics Data Clinic October 2019","ELIXIR-DE","11.10.2019","11.10.2019","1.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","IPB Halle","Online","","Academia/ Research Institution","NA","Plant Sciences, Metabolomics","2","4","https://www.denbi.de/training-archive-sorted-according-by-date/2019/680-metabolomics-data-clinic-october-2019","ELIXIR-DE"
"447","6978","Introduction to Metabolomics for the Microbiologist","ELIXIR-UK","09.10.2019","11.10.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Birmingham","United Kingdom","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","5","6","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/courses/2020/Introduction-to-Metabolomics-for-the-Microbiologist-April-2020.aspx","ELIXIR-UK"
"448","6890","4th de.NBI Training Course on Metagenome Analysis","ELIXIR-DE","09.10.2019","11.10.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Bielefeld University","Germany","","Academia/ Research Institution","NA","Marine Metagenomics","13","5","https://www.denbi.de/training-archive-sorted-according-by-date/2019/649-4th-de-nbi-training-course-on-metagenome-analysis","ELIXIR-DE"
"449","6889","Galaxy for linking bisulfite sequencing with RNA sequencing","ELIXIR-DE","09.10.2019","10.10.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Freiburg University","Germany","","Academia/ Research Institution","NA","Galaxy","10","8","https://www.denbi.de/training-archive-sorted-according-by-date/2019/663-galaxy-for-linking-bisulfite-sequencing-with-rna-sequencing2","ELIXIR-DE"
"450","6822","First steps with R in Life Sciences","ELIXIR-CH","08.10.2019","09.10.2019","2.00 Days","Training - face to face","ELIXIR Node","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","28","4","https://www.sib.swiss/training/course/2019-09-unix","ELIXIR-CH"
"451","6923","Galaxy Training: Using Galaxy for RNA-seq","ELIXIR-BE","08.10.2019","08.10.2019","1.00 Days","Training - face to face","EXCELERATE","VIB","Belgium","WP11","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","17","2","https://training.vib.be/galaxy-training-using-galaxy-rna-seq","ELIXIR-BE"
"452","6917","Python programming with applications to bioinformatics","ELIXIR-SE","07.10.2019","11.10.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS","Sweden","","Academia/ Research Institution","NA","NA","20","1","https://nbisweden.github.io/workshop-python/ht19/","ELIXIR-SE"
"453","6918","Python programming with applications to bioinformatics","ELIXIR-SE","07.10.2019","11.10.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS","Sweden","","Academia/ Research Institution","NA","NA","16","2","https://www.scilifelab.se/events/python-programming-with-applications-to-bioinformatics-uppsala/","ELIXIR-SE"
"454","6888","RNA-seq workshop for beginners: from sequences to visualization using Galaxy and R","ELIXIR-DE, ELIXIR-GR, ELIXIR-NL","07.10.2019","09.10.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Freiburg University - usegalaxy.eu","Netherlands","","Academia/ Research Institution","NA","Galaxy","52","4","https://www.denbi.de/training-archive-sorted-according-by-date/2019/685-rna-seq-workshop-for-beginners-from-sequences-to-visualization-using-galaxy-and-r","ELIXIR-DE"
"455","6943","4th Disease Maps Community Meeting (DMCM2019)","ELIXIR-ES","02.10.2019","04.10.2019","3.00 Days","Knowledge exchange workshop","ELIXIR Node, Non-ELIXIR/ Non-EXCELERATE funds","Fundación Progreso y Salud - FPS","Spain","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","58","17","http://disease-maps.org/DMCM2019","ELIXIR-ES"
"456","6851","An Introduction to Machine Learning","ELIXIR-UK","02.10.2019","04.10.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","46","4","https://training.cam.ac.uk/bioinformatics/event/3043850","ELIXIR-UK"
"457","6850","Reproducible Research with R","ELIXIR-UK","01.10.2019","01.10.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","38","1","https://training.cam.ac.uk/bioinformatics/event/3114638","ELIXIR-UK"
"458","6876","Bioinformatics workflows with Snakemake","ELIXIR-UK","30.09.2019","01.10.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Edinburgh/Edinburgh Genomics","United Kingdom","","Academia/ Research Institution, Industry, Healthcare","NA","NA","6","2","http://genomics.ed.ac.uk/services/training","ELIXIR-UK"
"459","6778","Good practice in high-throughput experiments","ELIXIR-CH","30.09.2019","01.10.2019","2.00 Days","Training - face to face","ELIXIR Node","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","23","3","https://www.sib.swiss/training/course/2019-09-good-exp","ELIXIR-CH"
"460","6849","Introduction to working with UNIX and bash","ELIXIR-UK","30.09.2019","30.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","31","2","https://training.cam.ac.uk/bioinformatics/event/3117357","ELIXIR-UK"
"461","6977","Multiple Biofluid and Tissue Types, From Sample Preparation to Analysis Strategies for Metabolomics","ELIXIR-UK","25.09.2019","27.09.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Birmingham","United Kingdom","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","6","6","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/courses/2020/Multiple-biofluid-and-tissue-types-from-sample-preparation-to-analysis-strategies-for-metabolomics-February-2020.aspx","ELIXIR-UK"
"462","6957","Current advances in text mining","ELIXIR-LU","25.09.2019","04.05.2020","223.00 Days","Training - face to face","ELIXIR Node","University of Luxembourg","Luxembourg","","Academia/ Research Institution","NA","NA","12","5","https://elixir-luxembourg.org/events/2019_09_25_text-mining_workshop","ELIXIR-LU"
"463","6656","de.NBI - CeBiTec Nanopore Best Practice Workshop 2019 ","ELIXIR-DE","25.09.2019","27.09.2019","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","de.NBI, Center for Biotechnology (CeBiTec), Bielefeld University, RWTH Aachen University ","Germany","","Academia/ Research Institution","NA","NA","16","7","https://www.denbi.de/training/527-de-nbi-cebitec-nanopore-best-practice-workshop-2019","ELIXIR-DE"
"464","6779","First Steps with UNIX in Life Sciences","ELIXIR-CH","25.09.2019","25.09.2019","1.00 Days","Training - face to face","ELIXIR Node","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","18","1","https://www.sib.swiss/training/course/2019-09-unix","ELIXIR-CH"
"465","6803","8th Galaxy workshop on HTS data analysis ","ELIXIR-DE","23.09.2019","27.09.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Freiburg","Germany","","Academia/ Research Institution","NA","Galaxy","29","7","https://www.denbi.de/training-archive-sorted-according-by-date/518-freiburg-galaxy-workshop","ELIXIR-DE"
"466","6848","Autumn School in Data Science: Machine learning applications for life sciences","ELIXIR-UK","23.09.2019","26.09.2019","4.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","44","6","https://training.cam.ac.uk/bioinformatics/event/3050610","ELIXIR-UK"
"467","6649","International Summer School on Rare Disease Registries and FAIRification of Data","ELIXIR-IT, ELIXIR-NL","23.09.2019","27.09.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Istituto Superiore di Sanità (ISS)","Italy","","Academia/ Research Institution, Non-Profit Organisation, Healthcare","NA","Rare Diseases","30","23","http://www.ejprarediseases.org/index.php/international-summer-school-on-rare-disease-registries-and-fairification-of-data/","ELIXIR-IT"
"468","6780","Introduction to RNA-Seq: From quality control to pathway analysis","ELIXIR-CH","23.09.2019","24.09.2019","2.00 Days","Training - face to face","ELIXIR Node","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","24","1","https://www.sib.swiss/training/course/2019-09-rnas-be03","ELIXIR-CH"
"469","6802","Protein Structure Fundamentals: Searching – Analyzing – Modeling ","ELIXIR-DE","23.09.2019","24.09.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Hamburg","Germany","","Academia/ Research Institution","NA","NA","22","4","https://www.denbi.de/training-archive-sorted-according-by-date/606-protein-structure-fundamentals-searching-analyzing-modeling","ELIXIR-DE"
"470","6801","Eukaryote genome annotation workshop 2019 ","ELIXIR-DE","19.09.2019","19.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Kiel","Germany","","Academia/ Research Institution","NA","NA","15","2","https://www.denbi.de/training-archive-sorted-according-by-date/610-eukaryote-genome-annotation-workshop-2019","ELIXIR-DE"
"471","6800","Microscopy Image Analysis Course 2019","ELIXIR-DE","19.09.2019","20.09.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Heidelberg University","Germany","","Academia/ Research Institution","NA","NA","20","5","https://www.denbi.de/training-archive-sorted-according-by-date/73-microscopy-image-analysis-course","ELIXIR-DE"
"472","6847","Statistics for Biologists in R","ELIXIR-UK","19.09.2019","20.09.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","41","1","https://training.cam.ac.uk/bioinformatics/event/2815748","ELIXIR-UK"
"473","6798","Introduction to genome-wide association studies (GWAS) 2019 ","ELIXIR-DE","18.09.2019","18.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Kiel","Germany","","Academia/ Research Institution","NA","NA","11","2","https://www.denbi.de/training-archive-sorted-according-by-date/611-introduction-to-genome-wide-association-studies-gwas-2019","ELIXIR-DE"
"474","6799","KNIME Hackathon 2019 ","ELIXIR-DE","18.09.2019","25.09.2019","8.00 Days","Hackathon","Non-ELIXIR/ Non-EXCELERATE funds","University of Konstanz","Germany","","Academia/ Research Institution","NA","NA","13","2","https://www.denbi.de/training-archive-sorted-according-by-date/539-knime-hackathon-2019","ELIXIR-DE"
"475","6919","Bioinformatics for Principal Investigators","ELIXIR-SE","17.09.2019","18.09.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS","Sweden","","Academia/ Research Institution","NA","NA","13","8","https://www.scilifelab.se/events/bioinformatics-for-principal-investigators/","ELIXIR-SE"
"476","6846","Bioinformatics for Principal Investigators","ELIXIR-UK","16.09.2019","17.09.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","27","6","https://training.cam.ac.uk/bioinformatics/event/3070941","ELIXIR-UK"
"477","6793","Combining Workflows, Tools and Data Management - GCB 2019 ","ELIXIR-DE","16.09.2019","16.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","HITS Heidelberg","Germany","","Academia/ Research Institution","NA","Galaxy","15","3","https://www.denbi.de/training-archive-sorted-according-by-date/595-combining-workflows-tools-and-data-management-gcb-2019","ELIXIR-DE"
"478","6795","Getting started with the de.NBI Cloud - GCB 2019","ELIXIR-DE","16.09.2019","16.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","CeBiTec","Germany","","Academia/ Research Institution","NA","NA","20","6","https://www.denbi.de/training-archive-sorted-according-by-date/565-introduction-into-the-de-nbi-cloud-gcb-2019","ELIXIR-DE"
"479","6796","Integrating computational meta-omics for microbiome research - GCB 2019","ELIXIR-DE","16.09.2019","16.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Magdeburg","Germany","","Academia/ Research Institution","NA","Proteomics","30","3","https://www.denbi.de/training-archive-sorted-according-by-date/654-integrating-computational-meta-omics-for-microbiome-research-gcb-2019a","ELIXIR-DE"
"480","6794","MOFA Workshop - GCB 2019 ","ELIXIR-DE","16.09.2019","16.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","DKFZ Heidelberg","Germany","","Academia/ Research Institution","NA","NA","30","1","https://www.denbi.de/training-archive-sorted-according-by-date/684-mofa-workshop-gcb-2019","ELIXIR-DE"
"481","6797","Proteomics and metabolomics with OpenMS and pyOpenMS - GCB2019 ","ELIXIR-DE","16.09.2019","16.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Tübingen","Germany","","Academia/ Research Institution","NA","Proteomics, Metabolomics","10","2","https://www.denbi.de/training-archive-sorted-according-by-date/666-proteomics-and-metabolomics-with-openms-and-pyopenms","ELIXIR-DE"
"482","6792","Galaxy Training Network day: (online) CoFest and community call ","ELIXIR-DE","12.09.2019","12.09.2019","1.00 Days","Knowledge exchange workshop","Non-ELIXIR/ Non-EXCELERATE funds","University of Freiburg","Online","","Academia/ Research Institution","NA","Galaxy","15","1","https://www.denbi.de/training-archive-sorted-according-by-date/667-galaxy-training-network-day-online-cofest-and-community-call","ELIXIR-DE"
"483","6956","Statistical tests and statistical learning for omics data","ELIXIR-LU","11.09.2019","12.09.2019","2.00 Days","Training - face to face","ELIXIR Node","University of Luxembourg","Luxembourg","","Academia/ Research Institution","NA","NA","24","4","https://elixir-luxembourg.org/events/2019_09_11_statistical_tests","ELIXIR-LU"
"484","6776","Bioinformatics tools to predict protein properties from sequence","ELIXIR-BE","10.09.2019","10.09.2019","1.00 Days","Training - face to face","ELIXIR Node","VIB","Belgium","","Academia/ Research Institution","NA","NA","14","2","https://tess.elixir-europe.org/events/bioinformatics-tools-to-predict-protein-properties-from-sequence","ELIXIR-BE"
"485","6875","Bioinformatics for Genomics","ELIXIR-UK","09.09.2019","13.09.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Edinburgh/Edinburgh Genomics","United Kingdom","","Academia/ Research Institution, Industry, Healthcare","NA","NA","16","4","http://genomics.ed.ac.uk/services/training","ELIXIR-UK"
"486","6781","Clinical bioinformatics for microbial genomics and metagenomics - ESCMID, CHUV, SIB","ELIXIR-CH","09.09.2019","12.09.2019","4.00 Days","Training - face to face","ELIXIR Node","SIB Swiss Institute of Bioinformatics, CHUV, ESCMID","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","52","14","https://www.sib.swiss/training/course/2019-09-metagenomics","ELIXIR-CH"
"487","6783","Computational PANGenomics","ELIXIR-PT","09.09.2019","13.09.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Instituto Gulbenkian de Ciência","Portugal","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","19","2","http://gtpb.igc.gulbenkian.pt/bicourses/2019/CPANG19/index.html","ELIXIR-PT"
"488","6791","Dresden Deep Learning Hackathon ","ELIXIR-DE","09.09.2019","13.09.2019","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","CSBD Dresden","Germany","","Academia/ Research Institution","NA","NA","35","2","https://www.denbi.de/training-archive-sorted-according-by-date/636-dresden-deep-learning-hackathon","ELIXIR-DE"
"489","7020","Introducing UTAP: User-friendly Transcriptome Analysis Pipeline","ELIXIR-IL","09.09.2019","09.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Weizmann Institute of Science","Israel","","Academia/ Research Institution","NA","NA","20","3","https://www.weizmann.ac.il/LS_CoreFacilities/bioinformatics-lscf/courses#uw44","ELIXIR-IL"
"490","6775","Introduction to Machine Learning: Opportunities for advancing omics data analysis","ELIXIR-CH, ELIXIR-GR","09.09.2019","09.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","INAB-CERTH, H3ABioNet","Switzerland","","Academia/ Research Institution, Industry, Healthcare","NA","NA","29","2","https://fpsom.github.io/IntroToMachineLearning/","ELIXIR-GR"
"491","6845","Introduction to R for Biologists","ELIXIR-UK","09.09.2019","10.09.2019","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","42","3","https://training.cam.ac.uk/bioinformatics/event/3070999","ELIXIR-UK"
"492","6930","Omics Integration and Systems Biology","ELIXIR-SE","09.09.2019","12.09.2019","4.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS","Sweden","","Academia/ Research Institution","NA","NA","23","8","https://www.scilifelab.se/events/omics-integration-and-systems-biology/","ELIXIR-SE"
"493","6790","RNA-Seq data analysis with Galaxy for clinical applications - GMDS 2019 ","ELIXIR-DE","08.09.2019","08.09.2019","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Rostock","Germany","","Academia/ Research Institution","NA","NA","4","2","https://www.denbi.de/training-archive-sorted-according-by-date/662-rna-seq-data-analysis-with-galaxy-for-clinical-applications-gmds-2019","ELIXIR-DE"
